channels, latency, input_r, weights_r, output_r, dram_r, intbuffer_r, input_w, weights_w, output_w, dram_w, intbuffer_w, output_compute,,
8,68.71947674,2.98803E+11,2334400625,2.98801E+11,3.8118E+11,22392113282,72381210.62,142480.5069,2.98819E+11,2.74878E+11,15448728928,2.98803E+11,,1.89153E+12
16,68.71947674,1.19521E+12,9337602499,1.19521E+12,1.32071E+12,77447184415,289524842.5,569922.0275,1.19528E+12,1.09951E+12,61794915713,1.19521E+12,,7.35E+12
32,68.71947674,4.78085E+12,37350409996,4.78084E+12,4.8748E+12,2.85546E+11,1158099370,2279688.11,4.78114E+12,4.39805E+12,2.4718E+11,4.78085E+12,,2.89678E+13
64,103.0792151,1.91234E+13,1.49402E+11,1.91234E+13,1.86831E+13,1.0937E+12,3474298110,9118752.44,1.91246E+13,1.75922E+13,9.88719E+11,1.91234E+13,,1.15005E+14
128,171.7986918,7.64936E+13,5.97607E+11,7.64936E+13,7.31004E+13,4.27783E+12,11580993700,36475009.76,7.64983E+13,7.03687E+13,3.95487E+12,7.64936E+13,,4.5829E+14
